timestamp,event_id,level,source,computer,user,opcode,task_category,process_id,process_name,detail,cpu_usage,mem_usage,network_io,integrity_level,is_signed,label
2026-04-02 22:49:11,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,2511,powershell.exe,System Check,0.22471978554088218,182,0.1,Medium,1,normal
2026-04-02 22:49:12,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,2446,svchost.exe,System Check,1.265462934957024,76,0.1,Medium,1,normal
2026-04-02 22:49:13,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,572,services.exe,System Check,2.740992808197617,61,0.1,Medium,1,normal
2026-04-02 22:49:14,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,6681,lsass.exe,System Check,2.883945118522248,73,0.1,Medium,1,normal
2026-04-02 22:49:15,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Admin,Logon,Logon,6790,explorer.exe,System Check,3.8223950168341574,101,0.1,Medium,1,normal
2026-04-02 22:49:16,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,1108,lsass.exe,System Check,0.8985480480852562,197,0.1,Medium,1,normal
2026-04-02 22:49:17,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,368,svchost.exe,System Check,3.1957071065924607,126,0.1,Medium,1,normal
2026-04-02 22:49:18,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,6765,svchost.exe,System Check,0.5574978138487579,67,0.1,Medium,1,normal
2026-04-02 22:49:19,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,2273,lsass.exe,System Check,3.061327345553039,196,0.1,Medium,1,normal
2026-04-02 22:49:20,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,4491,lsass.exe,System Check,1.9802061615193203,135,0.1,Medium,1,normal
2026-04-02 22:49:21,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,6394,svchost.exe,System Check,2.9515497189162754,63,0.1,Medium,1,normal
